Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,Participant,Activity
1.51077966725e+12,1.51077972725e+12,78.66101695,3.587219165,74,87,78.0,75,0.691167158,-0.527659521,81.4,79.0,77.0,75.0,78.74276937,5.0,0.440677966,0.559322034,13,13.09000584,20,NA
1.51077963725e+12,1.51077969725e+12,75.3220339,2.776662293,72,82,75.0,73,0.914901385,-0.119875516,77.4,75.0,74.0,73.0,75.37319579,3.5,0.372881356,0.627118644,10,7.842781999,20,NA
1.51077960725e+12,1.51077966725e+12,74.05172414,1.151047706,72,76,74.0,75,-0.236650486,-0.798926888,75.0,74.2,74.0,73.0,74.06066944,2.0,0.396551724,0.603448276,4,1.34815487,20,rest1
1.51077957725e+12,1.51077963725e+12,75.0,1.02510851,73,77,75.0,74,0.377615414,-0.943288241,76.0,75.0,74.2,74.0,75.00700532,2.0,0.338983051,0.406779661,4,1.068965517,20,rest1
1.51077954725e+12,1.51077960725e+12,75.82142857,1.465156535,73,79,76.0,76,0.140345213,-0.641654036,77.0,76.0,76.0,74.0,75.83558343,3.0,0.642857143,0.357142857,6,2.185714286,20,rest1
1.51077951725e+12,1.51077957725e+12,76.75471698,1.951348449,74,81,77.0,77,0.589848443,-0.376716927,78.6,77.0,76.0,75.0,76.77951771,3.0,0.509433962,0.490566038,7,3.880986938,20,rest1
1.51077948725e+12,1.51077954725e+12,77.2037037,2.444795149,74,83,76.5,75,0.554191759,-0.918124095,80.0,77.0,76.0,75.0,77.24240344,4.0,0.388888889,0.611111111,9,6.089797345,20,rest1
1.51077945725e+12,1.51077951725e+12,78.5,2.787206221,74,84,78.0,76,0.402828175,-0.971589141,81.0,79.0,77.0,76.0,78.54946542,4.75,0.462962963,0.537037037,10,7.91509434,20,rest1
1.51077942725e+12,1.51077948725e+12,79.09615385,2.698002219,75,84,79.0,76,0.338572318,-1.215450363,82.0,80.0,77.4,76.0,79.14215545,4.25,0.461538462,0.538461538,9,7.421945701,20,NA
1.51077939725e+12,1.51077945725e+12,78.46296296,2.123178635,75,83,78.0,77,0.660847134,-0.635209485,80.4,78.0,77.2,77.0,78.49168392,3.0,0.351851852,0.648148148,8,4.592941999,20,Stroop 2
1.51077936725e+12,1.51077942725e+12,78.16949153,1.209461883,76,82,78.0,78,0.937212538,1.235753572,79.0,78.0,78.0,77.0,78.17884754,1.5,0.271186441,0.728813559,6,1.488018703,20,Stroop 2
1.51077933725e+12,1.51077939725e+12,77.52542373,1.063348281,75,79,78.0,78,-0.827683428,0.120697935,78.0,78.0,78.0,77.0,77.53271589,1.0,0.627118644,0.372881356,4,1.150204559,20,Stroop 2
1.51077930725e+12,1.51077936725e+12,76.3220339,1.111430258,75,79,76.0,76,0.526141347,-0.843827582,78.0,76.0,76.0,75.0,76.330126,1.5,0.338983051,0.661016949,4,1.256575102,20,Stroop 2
1.51077927725e+12,1.51077933725e+12,75.90163934,0.862799827,74,78,76.0,76,0.496627666,0.639013932,76.0,76.0,76.0,75.0,75.90654306,1.0,0.704918033,0.295081967,4,0.756830601,20,Stroop 2
1.51077924725e+12,1.51077930725e+12,75.49180328,1.06544766,74,78,75.0,75,0.631324717,0.006262913,76.0,76.0,75.0,75.0,75.49932146,1.0,0.442622951,0.557377049,4,1.154098361,20,Stroop 2
1.51077921725e+12,1.51077927725e+12,74.32758621,0.774327985,73,76,74.0,74,0.029143726,-0.462362925,75.0,75.0,74.0,74.0,74.33161948,1.0,0.413793103,0.586206897,3,0.610102843,20,Stroop 2
1.51077918725e+12,1.51077924725e+12,77.78947368,5.227245902,73,88,74.0,74,0.807021129,-0.989628411,84.0,76.0,74.0,74.0,77.96490439,9.0,0.368421053,0.631578947,15,27.81203008,20,Stroop 2
1.51077915725e+12,1.51077921725e+12,79.21428571,5.975289251,71,88,79.5,71,-0.020247312,-1.527109428,86.0,83.0,76.0,72.0,79.43932995,11.25,0.5,0.5,17,36.35324675,20,NA
1.51077912725e+12,1.51077918725e+12,77.43636364,5.31469194,71,87,76.0,72,0.3526573,-1.348873184,84.0,78.4,75.0,72.0,77.61853106,10.5,0.436363636,0.563636364,16,28.76902357,20,NA
1.51077909725e+12,1.51077915725e+12,75.48214286,4.448077721,71,85,74.0,72,0.90619977,-0.504619783,80.0,75.0,72.0,72.0,75.61308938,6.0,0.375,0.625,14,20.14512987,20,Rest- TSST
1.51077906725e+12,1.51077912725e+12,72.78571429,1.644409205,71,80,72.5,72,2.2725864,6.546895692,73.0,73.0,72.0,72.0,72.80428755,1.0,0.5,0.5,9,2.753246753,20,Rest- TSST
1.51077903725e+12,1.51077909725e+12,72.05263158,1.066574327,70,74,72.0,72,-0.191537642,-0.631464518,73.0,72.0,72.0,71.0,72.06052524,2.0,0.368421053,0.631578947,4,1.157894737,20,Rest- TSST
1.51077900725e+12,1.51077906725e+12,71.87931034,0.872522823,70,73,72.0,72,-0.542766072,-0.291881603,73.0,72.0,72.0,71.0,71.8846058,1.0,0.724137931,0.275862069,3,0.774652148,20,Rest- TSST
1.51077897725e+12,1.51077903725e+12,73.65517241,1.444988058,72,77,73.0,72,0.340913854,-1.184523223,75.0,74.0,73.0,72.0,73.66934514,3.0,0.448275862,0.551724138,5,2.1246219,20,Rest- TSST
1.51077894725e+12,1.51077900725e+12,76.19298246,1.914291555,72,80,76.0,75,0.354284807,-0.137706494,78.0,76.0,75.4,75.0,76.21702623,2.0,0.333333333,0.666666667,8,3.729949875,20,Rest- TSST
1.51077891725e+12,1.51077897725e+12,76.21818182,1.865387204,74,80,76.0,76,0.655910021,-0.575094924,78.0,76.0,76.0,74.0,76.24100543,2.0,0.327272727,0.672727273,6,3.544107744,20,Rest- TSST
1.51077888725e+12,1.51077894725e+12,77.78,4.031327325,74,86,76.0,74,0.905994561,-0.603872237,82.0,77.0,75.0,74.0,77.88440152,5.75,0.36,0.64,12,16.58326531,20,Rest- TSST
1.51077885725e+12,1.51077891725e+12,81.44230769,2.885064068,76,87,81.0,80,0.318860964,-0.78595358,85.0,81.0,80.0,79.0,81.49339284,3.5,0.384615385,0.615384615,11,8.486802413,20,Rest- TSST
1.51077882725e+12,1.51077888725e+12,81.4,1.912637399,79,87,81.0,80,1.307199582,1.29139082,82.2,81.0,80.0,80.0,81.4224673,2.0,0.381818182,0.618181818,8,3.725925926,20,Rest- TSST
1.51077879725e+12,1.51077885725e+12,80.73076923,1.415781717,79,84,80.0,80,0.604475041,-0.690747675,82.0,81.0,80.0,80.0,80.74318261,2.0,0.423076923,0.576923077,5,2.043740573,20,NA
1.51077876725e+12,1.51077882725e+12,82.56603774,2.72313245,79,87,83.0,79,0.034569278,-1.518653153,85.6,84.0,81.0,80.0,82.61093171,5.0,0.509433962,0.490566038,8,7.558055152,20,NA
1.51077873725e+12,1.51077879725e+12,81.94642857,3.158998727,77,87,82.0,86,-0.028989877,-1.317602653,85.0,83.0,81.0,79.0,82.00729497,5.25,0.517857143,0.482142857,10,10.16071429,20,NA
1.51077870725e+12,1.51077876725e+12,80.56140351,1.882677674,77,83,81.0,81,-0.426838311,-0.747732077,82.8,81.0,80.0,79.0,80.5833991,2.0,0.561403509,0.438596491,6,3.607769424,20,NA
1.51077867725e+12,1.51077873725e+12,82.66101695,1.256982794,80,86,83.0,83,0.043511633,0.543129256,83.0,83.0,83.0,81.6,82.67057354,1.0,0.661016949,0.338983051,6,1.607247224,20,NA
1.51077864725e+12,1.51077870725e+12,82.12068966,1.857673612,79,86,83.0,83,-0.369993101,-0.588175916,83.0,83.0,82.0,80.0,82.14169843,2.0,0.534482759,0.465517241,7,3.511494253,20,Arithmetic
1.51077861725e+12,1.51077867725e+12,80.83636364,1.290012493,79,84,81.0,81,0.103094989,-0.700642307,82.0,81.0,81.0,79.0,80.8466562,2.0,0.636363636,0.363636364,5,1.694949495,20,Arithmetic
1.51077858725e+12,1.51077864725e+12,81.64285714,1.767045268,79,86,81.0,81,0.724634625,-0.107739011,83.0,81.0,81.0,80.0,81.66197751,2.0,0.392857143,0.607142857,7,3.179220779,20,Arithmetic
