Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,Participant,Activity
1.51018000228e+12,1.51018006228e+12,2.42432,0.157679045,1.9891,2.6285,2.48095,2.5445,-0.861154955,-0.403879245,2.56194,2.5172,2.44204,2.24794,2.429442352,0.235825,0.625,0.375,0.6394,0.025071611,17,Speech
1.51017997228e+12,1.51018003228e+12,2.4497475,0.146908728,1.9774,2.704,2.47135,2.4052,-1.039659386,1.096537443,2.57938,2.50394,2.44716,2.35896,2.454148526,0.187675,0.583333333,0.416666667,0.7266,0.021763537,17,Speech
1.51017994228e+12,1.51018000228e+12,2.459778333,0.156010091,1.9774,2.7512,2.4898,2.5445,-0.914294958,0.621058903,2.59074,2.53812,2.44836,2.34864,2.464720795,0.21525,0.575,0.425,0.7738,0.024543679,17,NA
1.51017991228e+12,1.51017997228e+12,2.268855,0.27115228,1.818,2.7512,2.24955,2.0203,-0.030287201,-1.552691748,2.55852,2.4258,2.0825,1.98982,2.285000344,0.544075,0.475,0.525,0.9332,0.074141404,17,NA
1.51017988228e+12,1.51017994228e+12,1.9988875,0.084861104,1.818,2.2546,1.9883,2.0203,1.229704389,2.464949569,2.0203,1.9967,1.97672,1.9577,2.000688043,0.052275,0.383333333,0.616666667,0.4366,0.007261923,17,NA
1.51017985228e+12,1.51017991228e+12,1.950125833,0.046267805,1.8456,2.0138,1.95975,1.9927,-0.951612871,-0.004739977,1.98906,1.9665,1.95638,1.91494,1.950674621,0.04695,0.65,0.35,0.1682,0.002158699,17,Prepare Speech
1.51017982228e+12,1.51017988228e+12,1.837905,0.106685647,1.6874,1.9972,1.8605,1.6968,-0.185588637,-1.444600426,1.94024,1.87046,1.84714,1.70138,1.840998809,0.230875,0.633333333,0.366666667,0.3098,0.011477473,17,Prepare Speech
1.51017979228e+12,1.51017985228e+12,1.69372,0.081119075,1.5725,1.8767,1.68975,1.6027,0.979343078,0.228428902,1.7186,1.69844,1.66628,1.62664,1.695661447,0.07395,0.441666667,0.558333333,0.3042,0.006635601,17,Prepare Speech
1.51017976228e+12,1.51017982228e+12,1.657139167,0.066071406,1.5662,1.7859,1.63695,1.5803,0.641977162,-0.858412143,1.74794,1.65258,1.62714,1.60252,1.658455802,0.08185,0.383333333,0.616666667,0.2197,0.004402115,17,Prepare Speech
1.51017973228e+12,1.51017979228e+12,1.746078333,0.090317201,1.5662,1.8618,1.7832,1.806,-0.842948706,-0.799750724,1.81784,1.79432,1.76964,1.62866,1.748412635,0.15835,0.708333333,0.291666667,0.2956,0.008225745,17,Prepare Speech
