,Participant,activity,window_num,mean_ecg,median_ecg,variance_ecg,quartiled_ecg,range_ecg,max_ecg,min_ecg,80perc_ecg,20perc_ecg,HF_ecg,LF_ecg,LF/HF_ecg,RMSSD_ecg,SDSD_ecg,pNN20_ecg,pNN50_ecg,mean_GSR,sd_GSR,min_GSR,max_GSR,meidan_GSR,skew_GSR,Kurtosis_GSR,08per_GSR,20perc_GSR,mean_polar,sd_polar,min_polar,max_polar,meidan_polar,skew_polar,Kurtosis_polar,08per_polar,20perc_polar,combined
1215,20,rest1,1,0.811717092,0.941176471,0.553741745,0.3,1.0,0.583333333,0.451612903,0.671497585,0.785714286,0.674760175,0.305880247,0.174086775,0.608665654,0.438952947,0.813372157,0.494736842,0.455550774,0.354250546,0.387023935,0.580569218,0.427222327,0.672612603,0.324869328,0.514731085,0.39318903,0.366481759,0.223673041,0.3,0.361111111,0.363636364,0.563286357,0.259889711,0.329032258,0.35,20rest1
1216,20,rest1,2,0.864323486,0.941176471,0.252475961,0.383333333,0.5,0.583333333,0.774193548,0.671497585,0.875,0.866710239,0.280922985,0.109443617,0.976204122,0.954447794,0.888393613,0.762162162,0.458974108,0.342222387,0.387023935,0.580569218,0.459241684,0.700592677,0.478118998,0.498231541,0.401108322,0.316082768,0.20784987,0.3,0.305555556,0.318181818,0.507292937,0.125110101,0.290322581,0.3,20rest1
1217,20,rest1,3,0.847101155,0.901960784,0.241070179,0.333333333,0.5,0.583333333,0.774193548,0.623188406,0.857142857,0.561520738,0.376472506,0.252400817,0.770664377,0.636704171,0.698339258,0.508108108,0.444981689,0.163554242,0.405941091,0.475553874,0.442703439,0.580506795,0.381675224,0.46006381,0.426893383,0.273061457,0.080110096,0.3,0.222222222,0.272727273,0.437843725,0.248196942,0.225806452,0.3,20rest1
1218,20,rest1,4,0.945803733,0.980392157,0.423102344,0.4,0.7,1.0,0.967741935,0.768115942,0.903571429,0.330401848,0.541392949,0.470058716,0.631786957,0.5675188,0.79258539,0.643835616,0.384317774,0.213495708,0.343268604,0.435616093,0.384678632,0.619173895,0.360693155,0.411257976,0.349727656,0.247909838,0.059559073,0.25,0.166666667,0.272727273,0.320823977,0.055726226,0.225806452,0.25,20rest1
1219,20,rest1,5,0.852435294,0.941176471,0.475931182,0.2,1.0,1.0,0.774193548,0.526570048,0.889285714,0.131640641,0.736692469,0.776252024,0.185010701,0.055752858,0.315553726,0.397183099,0.291474496,0.195791656,0.257062572,0.334972884,0.289019921,0.548632891,0.23719,0.319908842,0.256884384,0.20075843,0.012181553,0.25,0.138888889,0.181818182,0.449308979,0.201296389,0.161290323,0.25,20rest1
1220,20,rest2,1,0.805382323,0.941176471,0.55172059,0.266666667,1.0,0.583333333,0.451612903,0.637681159,0.785714286,0.630525462,0.257580357,0.161271708,0.622055138,0.439118644,0.831630712,0.501333333,0.323328415,0.442531318,0.219579507,0.444696683,0.308494644,0.557579304,0.15549766,0.414794895,0.227812248,0.321556875,0.333566388,0.25,0.361111111,0.272727273,0.550875355,0.137491067,0.322580645,0.28,20rest2
1221,20,rest2,2,0.866092266,0.941176471,0.262043257,0.4,0.5,0.583333333,0.774193548,0.671497585,0.867857143,0.783745572,0.299936003,0.139764158,0.954957367,0.950709802,0.869648526,0.77260274,0.244672791,0.398629684,0.176426313,0.398032539,0.19902274,0.827898638,0.386138343,0.320893345,0.190906077,0.274300925,0.296643882,0.2,0.25,0.272727273,0.452393776,0.022081499,0.322580645,0.2,20rest2
1222,20,rest2,3,0.838950869,0.901960784,0.263540659,0.383333333,0.5,0.583333333,0.774193548,0.637681159,0.835714286,0.651731392,0.276520755,0.165199618,0.828486504,0.676089111,0.72983398,0.537142857,0.138243655,0.074147695,0.134477395,0.15142725,0.134020861,0.584067763,0.248406322,0.147274385,0.128565339,0.163912427,0.279792958,0.05,0.25,0.136363636,0.608926817,0.310185167,0.161290323,0.12,20rest2
1223,20,rest2,4,0.866969236,0.941176471,0.115890249,0.2,0.1,0.5,0.967741935,0.574879227,0.903571429,0.227896816,0.270658147,0.337652908,0.572691467,0.477630632,0.80901797,0.552941176,0.120114366,0.0,0.134477395,0.106738975,0.121029882,0.421513818,0.285360756,0.111722881,0.126983375,0.058989025,0.152098773,0.0,0.111111111,0.0,0.592222599,0.217253005,0.096774194,0.05,20rest2
1224,20,rest2,5,1.0,1.0,0.721752815,0.533333333,1.0,1.0,0.774193548,1.0,0.932142857,0.035259434,0.773172409,0.917841804,0.34316377,0.301009837,0.367587948,0.56119403,0.104705849,0.0536323,0.100807868,0.106738975,0.105877655,0.437569273,0.18723366,0.109161349,0.097958604,0.0,0.023180288,0.0,0.0,0.0,0.329211455,0.139572903,0.0,0.0,20rest2
