Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count,Participant,Activity
1.50E+12,1.50E+12,629.483871,25.0824931,561,689,629,633,-0.173004687,0.41844106,649,633,625,609,629.9833929,28,0.483870968,0.516129032,128,635.9698457,0.010752688,0.086021505,12.2025038,1,8,8.485380994,14,58.70967742,56.69892473,68.75268817,0.853925555,0.9757,2,Cry-Rest
1.50E+12,1.50E+12,633.7956989,36.34055146,549,713,633,621,-0.236715108,-0.259041428,663.4,645,625,609,634.8366905,44,0.462365591,0.537634409,164,1334.990416,0.010752688,0.161290323,15.81001334,1,15,10.21699814,12,62.84946237,65.69892473,69.91397849,0.898954168,0.982383333,2,Cry-Rest
1.50E+12,1.50E+12,629.9893617,39.13329504,549,713,629.5,601,-0.047505397,-0.86520908,665,645,621,597,631.2036206,56,0.5,0.5,164,1547.881606,0.031914894,0.14893617,17.36452941,3,14,11.83177846,11,60.13829787,63.21276596,55.82978723,1.077172256,0.986983333,2,Cry-Rest
1.50E+12,1.50E+12,635.106383,33.74669979,569,705,641,601,-0.20492611,-1.053043532,666.6,649,625,601,636.002325,63,0.531914894,0.468085106,136,1151.085335,0.021276596,0.106382979,15.31883372,2,10,10.01529643,11,62.05319149,68.87234043,64.36170213,0.964132231,0.995,2,Cry-Rest
1.50E+12,1.50E+12,654.4065934,24.8918443,609,721,653,633,0.511919141,-0.092371179,673,661,645,633,654.8798313,36,0.494505495,0.505494505,112,626.4884005,0,0.153846154,14.7482579,0,14,8.573862088,17,64.24175824,64.45054945,62.56043956,1.02687511,0.992516667,2,Cry-Rest
1.50E+12,1.50E+12,659.2413793,34.23346669,569,770,657,657,0.673296487,0.879126796,687.6,661,645,633,660.1296285,42.5,0.425287356,0.574712644,201,1185.557338,0.022988506,0.206896552,64.15266718,2,18,60.9747012,12,68.05747126,72.94252874,60.36781609,1.127380046,0.9559,2,Cry-Rest
1.50E+12,1.50E+12,675.313253,46.86944896,380,770,673,645,-2.861537978,16.71517041,713,689,664.2,646.6,676.937763,58,0.493975904,0.506024096,390,2223.534822,0.012048193,0.21686747,18.48923611,1,18,11.72466477,12,68.01204819,66.1686747,75.20481928,0.904357578,0.934183333,2,NA
1.50E+12,1.50E+12,671.9545455,33.64044816,585,733,669,649,-0.269382585,-0.384437468,709,681,661,646.6,672.7960991,52,0.488636364,0.511363636,148,1144.687565,0.011363636,0.238636364,18.29012673,1,21,11.25927635,16,69.01136364,66.60227273,66.64772727,1.035464621,0.985533333,2,NA
1.50E+12,1.50E+12,665.3908046,32.9818328,585,773,661,657,0.498341099,1.243848211,689,669,657,645,666.2077185,29.5,0.413793103,0.586206897,188,1100.450147,0.034482759,0.252873563,23.75215161,3,22,16.9306912,22,70.63218391,69.25287356,62.49425287,1.130218871,0.964816667,2,Cry-Rest
1.50E+12,1.50E+12,654.3820225,48.33927512,532,773,661,661,-0.299918184,-0.184932453,693,669,653,612.6,656.1650073,64,0.561797753,0.438202247,241,2363.238764,0.033707865,0.213483146,61.06023479,3,19,57.10264134,9,56.94382022,63.7752809,69.91011236,0.81452909,0.970666667,2,Cry-Rest
